iter	Passed	Remaining
0	60	60313
1	60	30393
2	61	20378
3	61	15367
4	61	12334
5	62	10318
6	62	8881
7	62	7796
8	63	6972
9	63	6309
10	64	5783
11	64	5323
12	65	4938
13	65	4607
14	65	4314
15	66	4062
16	66	3848
17	67	3655
18	68	3516
19	68	3350
20	68	3203
21	69	3070
22	69	2952
23	69	2838
24	70	2735
25	70	2638
26	70	2550
27	71	2469
28	71	2393
29	71	2320
30	72	2256
31	72	2192
32	72	2132
33	73	2080
34	73	2028
35	73	1978
36	74	1933
37	74	1888
38	74	1847
39	75	1806
40	75	1768
41	75	1731
42	76	1697
43	76	1664
44	76	1633
45	77	1604
46	77	1578
47	78	1552
48	78	1524
49	78	1498
50	79	1474
51	79	1449
52	79	1427
53	80	1404
54	80	1382
55	80	1362
56	81	1343
57	81	1324
58	81	1305
59	82	1287
60	82	1269
61	82	1252
62	83	1235
63	83	1220
64	83	1206
65	84	1190
66	84	1175
67	84	1158
68	84	1144
69	85	1131
70	85	1118
71	85	1105
72	86	1093
73	86	1081
74	86	1071
75	87	1059
76	87	1047
77	87	1038
78	88	1027
79	88	1017
80	88	1007
81	89	997
82	89	988
83	89	979
84	90	968
85	90	959
86	90	950
87	90	941
88	91	933
89	91	925
90	91	917
91	92	909
92	92	901
93	92	894
94	93	886
95	93	879
96	93	872
97	93	864
98	94	857
99	94	851
100	94	844
101	95	837
102	95	830
103	95	824
104	96	819
105	96	814
106	96	808
107	97	802
108	97	796
109	97	790
110	97	784
111	98	780
112	98	775
113	99	770
114	99	765
115	99	759
116	99	754
117	100	749
118	100	743
119	100	738
120	101	734
121	101	730
122	101	724
123	101	720
124	102	716
125	102	713
126	103	709
127	103	703
128	103	699
129	103	695
130	104	691
131	104	687
132	104	683
133	105	680
134	105	676
135	105	673
136	106	669
137	106	665
138	106	662
139	107	659
140	107	656
141	107	652
142	108	648
143	108	645
144	108	642
145	109	639
146	109	636
147	110	633
148	110	630
149	110	627
150	111	625
151	111	622
152	111	619
153	112	615
154	112	612
155	112	609
156	113	606
157	113	604
158	113	601
159	114	598
160	114	596
161	114	593
162	115	590
163	115	587
164	115	585
165	115	582
166	116	579
167	116	577
168	116	574
169	117	572
170	117	570
171	118	568
172	118	566
173	118	564
174	119	561
175	119	559
176	119	557
177	120	554
178	120	552
179	120	550
180	120	546
181	121	544
182	121	542
183	121	540
184	122	537
185	122	535
186	122	533
187	123	531
188	123	529
