iter	Passed	Remaining
0	57	57655
1	58	29048
2	58	19450
3	59	14705
4	59	11854
5	59	9920
6	60	8540
7	60	7530
8	61	6749
9	61	6110
10	62	5581
11	62	5144
12	62	4767
13	63	4447
14	63	4175
15	63	3934
16	64	3724
17	64	3530
18	65	3361
19	65	3208
20	65	3073
21	66	2944
22	66	2829
23	66	2722
24	67	2621
25	67	2529
26	67	2445
27	68	2367
28	68	2297
29	68	2229
30	69	2167
31	69	2107
32	69	2050
33	70	1997
34	70	1949
35	71	1903
36	71	1858
37	71	1815
38	72	1775
39	72	1736
40	72	1699
41	72	1663
42	73	1630
43	73	1601
44	74	1571
45	74	1543
46	74	1519
47	75	1495
48	75	1471
49	76	1447
50	76	1423
51	76	1400
52	77	1377
53	77	1357
54	77	1336
55	78	1316
56	78	1297
57	78	1279
58	79	1263
59	79	1246
60	79	1229
61	80	1215
62	80	1199
63	80	1183
64	81	1168
65	81	1154
66	82	1142
67	82	1129
68	82	1118
69	83	1106
70	83	1094
71	83	1082
72	84	1071
73	84	1061
74	85	1051
75	85	1042
76	86	1032
77	86	1023
78	86	1013
79	87	1004
80	87	995
81	88	987
82	88	976
83	88	967
84	89	959
85	89	951
86	89	943
87	90	935
88	90	926
89	90	918
90	91	911
91	91	905
92	92	898
93	92	892
94	92	885
95	93	878
96	93	872
97	94	867
98	94	861
99	94	854
100	95	848
101	95	842
102	96	837
103	96	831
104	96	826
105	97	821
106	97	815
107	98	809
108	98	804
109	98	799
110	99	795
111	99	790
112	99	784
113	100	779
114	100	774
115	100	769
116	101	764
117	101	759
118	101	755
119	102	750
120	102	747
121	103	742
122	103	738
123	104	735
124	104	732
125	105	729
126	105	725
127	106	722
128	106	722
129	108	729
130	109	725
131	109	721
132	110	718
133	110	714
134	110	710
135	111	706
136	111	703
137	112	700
138	112	697
139	113	694
140	113	691
141	113	686
142	113	683
143	114	680
144	114	677
145	115	674
146	115	671
147	116	668
148	116	665
149	116	662
150	117	659
151	117	656
152	118	654
153	118	650
154	118	647
155	119	645
156	119	642
157	120	640
158	120	638
159	121	635
160	121	631
161	121	629
